Module,Owner,Files,APIs,DB collections,Tests,Release gate
"Rights Enforcement and Regional Blocking","@legal-tech","backend/rights/enforcement_service.dart; backend/rights/controllers/enforcement_controller.dart; backend/rights/middleware/region_block_middleware.dart","GET /rights/{contentId}; GET /rights/enforce/{contentId}?region={code}; POST /rights/takedown","content_rights; geo_policy; takedown_requests","Unit: policy evaluation; Integration: region checks; Regression: takedown audit","Region enforcement correct; takedown updates visibility; no critical bypass"
"Search and Autosuggest Service","@search","backend/search/search_service.dart; backend/search/autosuggest_service.dart; infra/search/indexer_worker.dart","GET /search?q={query}&type={content|creator|event}; GET /search/suggest?q={prefix}","search_index; search_logs; trending_terms","Unit: query parsing; Integration: autosuggest relevance; Load: indexing throughput","p95 search latency within SLA; autosuggest relevant; indexing pipeline ok"
"Experimentation Platform Core","@experimentation","backend/experiments/experiment_service.dart; backend/experiments/assignment_service.dart; backend/experiments/exposure_logger.dart","POST /experiments/create; POST /experiments/assign; POST /experiments/exposure","experiments; assignments; exposures","Unit: deterministic assignment; Integration: exposure logging; Audit: immutability","Deterministic assignment; exposure logs queryable; no assignment drift"
"Analytics Event Schema Registry","@data-platform","backend/analytics/schema_registry_service.dart; infra/analytics/ingest_validator.dart; docs/analytics/schema_catalog.md","POST /schema/register; GET /schema/{eventType}; POST /ingest/validate","schema_registry; data_quality_results; analytics_events","Unit: schema validation; Integration: ingest validation; Contract: compatibility","Registry validates sample payloads; ingest rejects malformed; data quality checks pass"
"Moderation Triage and Case Management","@trust-and-safety","backend/moderation/triage_service.dart; backend/moderation/case_manager.dart; ui/moderation/moderation_console_stub.dart","POST /moderation/report; GET /moderation/case/{caseId}; POST /moderation/action/{caseId}","reports; moderation_cases; actions","Unit: triage logic; Integration: report->case->action; SLA: assignment timing","Reports create cases; actions change visibility; SLA met in staging"
"Safety ML Scoring Service","@safety-ml","backend/safety/scoring_service.dart; infra/safety/model_hosting_adapter.dart; backend/safety/score_store.dart","POST /safety/score; GET /safety/score/{id}","moderation_scores; model_versions; false_positive_audit","Offline: precision/recall; Integration: scoring pipeline; Drift: versioning tests","Model metrics meet baseline; scoring records model version; false positive audit in place"
"Notifications Delivery with Channel Fallback","@notifications","backend/notifications/delivery_service.dart; backend/notifications/channel_adapters/{push,email,sms}.dart; infra/notifications/retry_worker.dart","POST /notifications/send; GET /notifications/status/{notificationId}","notifications; delivery_logs; notification_preferences","Unit: channel selection; Integration: end-to-end delivery; Resilience: retry tests","Delivery logs show attempts; preferences respected; no critical provider errors"
"Messaging Moderation Hooks & Rate Limits","@messaging","backend/messaging/moderation_hooks.dart; backend/messaging/rate_limit_middleware.dart; infra/messaging/abuse_detector_worker.dart","POST /messages/send; POST /messages/report; GET /messages/rate_limit_status/{userId}","message_flags; rate_limits; abuse_signals","Unit: moderation hook logic; Integration: rate limit enforcement; Abuse: spam tests","Rate limits enforced; moderation hooks flag messages; false positives low"
"Campaign Manager and Budget Pacing","@growth","backend/campaigns/manager_service.dart; backend/campaigns/pacing_worker.dart; ui/campaigns/campaign_console_stub.dart","POST /campaigns/create; GET /campaigns/{id}/status; POST /campaigns/allocate_budget","campaigns; delivery_stats; audience_segments","Unit: pacing algorithm; Integration: budget simulation; Attribution: conversion tests","Pacing keeps spend within budget; delivery stats recorded; no overspend"
"Payout Reconciliation and Dispute Handling","@finance","backend/finance/reconciliation_service.dart; backend/finance/dispute_manager.dart; infra/finance/payout_report_worker.dart","POST /finance/reconcile; POST /finance/dispute; GET /finance/payouts/{batchId}/status","payout_batches; reconciliation_entries; disputes","Accounting invariants; Reconciliation E2E; Dispute lifecycle","Reconciliation completes; dispute flow auditable; no critical mismatches"
